,avg_velocity,std_velocity,total_duration,total_distance,start_date_local
1868796738,2.989083134262076,0.058553621256865,1630.0,4294.5,20180927
3009067241,2.912750507870333,0.13908939824099217,5178.0,13360.1,20200113
2722083331,2.9800513280918137,0.07822404243195147,4882.0,13246.2,20190919
743322109,3.234480020693427,0.10659288290744076,2275.0,6753.6,20161013
3295205672,2.169452886196713,0.4216777355650616,2744.0,7617.8,20200413
2524543046,3.4784130319641218,0.1668739625896785,1550.0,4802.3,20190711
3069420225,2.9642983317799736,0.041336979575553046,3514.0,9706.6,20200203
816889961,3.5204996599606875,0.5477313566120771,3716.0,10672.6,20161231
1940329018,2.8581991790392367,0.05927702062653572,1982.0,5059.3,20181101
3299549811,3.0965831910224773,0.4045594680965522,4242.0,13801.1,20200414
801938698,3.4203955066513565,0.3474778663962234,1769.0,4991.0,20161214
1201689712,3.3952403650547587,0.4016129259892257,3786.0,9014.7,20170920
3046213937,2.676126298610859,0.12538005809351874,9620.0,23630.0,20200126
2464350033,3.3303465940056833,0.14480173457295867,2743.0,8052.6,20190619
1467182243,3.4660967475372586,0.14851470130426425,1848.0,5068.6,20180323
1685283837,3.529486334769063,0.11430459075869498,1620.0,5100.0,20180706
3105924008,2.6498492009751415,0.11037038060264558,13660.0,31704.5,20200216
1288815736,3.273822354940736,0.04465853912906679,2566.0,7616.2,20171124
1265060661,3.1605699773162548,0.04796090769411372,1622.0,4355.5,20171107
2731578238,2.615545576381554,0.039759323062164446,10885.0,25730.2,20190922
2803853272,2.8918518579019827,0.06468302152374199,8275.0,22209.0,20191020
1124154012,3.1345313064923963,0.17298581372200905,2203.0,5852.3,20170802
771328115,3.259074743876453,0.10975609161243252,1671.0,4766.5,20161110
2181418109,2.987084231742747,0.06791181452404628,1876.0,4617.9,20190228
2717865060,3.084322532802078,0.14743693413152603,2727.0,8066.8,20190917
2569953839,3.029733179145211,0.09405842945421329,10085.0,26144.0,20190728
2350262652,3.3087688447360226,0.07065882879466523,1889.0,5585.6,20190507
2875053211,3.205604906569965,0.0393820755120086,3223.0,9568.0,20191118
2442840496,2.8583058928221154,0.10347920297509444,1895.0,4865.3,20190611
1875339198,2.805733300558108,0.073611086181835,1940.0,4960.9,20180930
3102760368,2.9029685670800145,0.18982969191555826,3206.0,8883.9,20200215
2430609201,3.1702312108043995,0.0749448473189725,1575.0,4599.1,20190607
2818596070,2.753201362933914,0.06778156003041624,5720.0,13932.3,20191026
3356861687,3.282547075935771,0.29446743087164784,6928.0,25557.8,20200426
2711834714,2.664825348108236,0.03071074227472743,10692.0,24822.4,20190915
2667460636,2.8858243169073834,0.04721363752870603,3063.0,8352.9,20190829
742641621,3.13854358200927,0.18827584947107984,1649.0,4882.7,20161012
2554844353,3.113603202827563,0.08346115271141584,1557.0,4595.0,20190722
2331725992,3.2882405588298393,0.056051814358766834,1478.0,4158.5,20190430
2447869236,3.409429320166122,0.10569285357900814,2813.0,8620.3,20190613
2935577436,2.82754431889919,0.050281521156860055,8577.0,22419.1,20191215
1218456368,3.249577838672823,0.06941327423442117,1632.0,4798.1,20171006
1166343769,2.9176432935350882,0.21254971008813978,3037.0,7289.5,20170903
2963377623,2.9603188420146176,0.062077409278787306,3091.0,8216.4,20191228
2161449175,3.063024247859783,0.12470310658953117,2815.0,7949.2,20190219
3112130109,2.8853610799011222,0.35628047364900634,3012.0,9237.3,20200218
3125757078,3.25365986514602,0.05910724437959359,6573.0,21321.2,20200223
2219911818,3.039597439485177,0.1349470101864309,4591.0,12045.5,20190317
1488858229,3.7774088600241247,0.0608421755292942,1923.0,6064.1,20180404
2667461112,2.9179792410015852,0.05777780414963057,7409.0,19740.6,20190831
2595501717,2.7065826403198794,0.061431349792560014,2025.0,5372.0,20190806
2503607378,2.8965200782039457,0.03103015440580598,3860.0,10254.3,20190704
2515950824,3.2897465175132914,0.1929717869585386,2547.0,7786.0,20190708
833957652,2.95021273403688,0.08335391313276605,4004.0,9919.3,20170116
828357668,3.263087804901619,0.13137305709334735,2280.0,6661.8,20170111
3409806889,2.591124065643917,0.341246163037898,3532.0,9714.5,20200506
3152063953,2.6754291457495407,0.1197657318837611,1467.0,4091.9,20200303
2337389544,2.919448678503608,0.059364187415411745,2249.0,5832.7,20190502
759257334,2.8605736901637555,0.09523983777394698,6692.0,16829.0,20161029
2622606192,3.074084131547372,0.1725911878911898,2485.0,3366.5,20190815
3094931571,2.9719298635607863,0.23646281018631946,4925.0,11948.3,20200212
3057967539,2.8702029253827184,0.07233414940016582,4657.0,11728.0,20200130
3243973893,2.9096439996672947,0.053859721635145776,3203.0,9462.8,20200401
1462284263,3.496776066149025,0.11552487408302414,2082.0,6074.6,20180320
1588457749,3.2239040922911246,0.12857091409752613,1677.0,4283.0,20180522
2483383134,3.2388245218377776,0.14425694227892566,2662.0,7705.3,20190626
3115124233,2.796705221583235,0.1965551800204187,3799.0,10148.0,20200219
1288815707,3.304340010396243,0.09972570678717484,1671.0,4743.9,20171121
3268433389,2.6084486490656795,0.06321772745711537,3515.0,9138.6,20200407
3454416748,3.0778209736761535,0.05093382053133392,3051.0,9170.7,20200515
3376742959,2.8488917955062827,0.11195711147290677,3365.0,9876.8,20200430
1435973452,2.326539788545148,0.5859611180781803,2879.0,5724.6,20180304
669675724,3.3963676652169603,0.15315970521767402,1807.0,4980.4,20160809
2492638171,3.0451916471786453,0.16272469358336286,8113.0,19969.6,20190630
2850743530,3.290057577991658,0.08653911341027723,1720.0,5176.8,20191108
3083741433,2.7646260979944284,0.09155057312922381,12108.0,29678.2,20200208
1529788730,3.0977327455184356,0.09369181784495796,1700.0,4492.2,20180424
1920506469,3.162064640355926,0.08197803170616862,1685.0,4414.3,20181022
2360085332,2.9673087820962296,0.05237498959554999,3151.0,8586.9,20190511
2761785220,3.0142974174933963,0.09003220864239223,4559.0,12486.7,20191004
780942662,2.8188614857167775,0.10822497076471554,3690.0,9562.0,20161120
821911093,3.3413379244741956,0.17728779156503438,1852.0,5710.7,20170105
2263316599,3.2162733720152916,0.0788094698343148,2158.0,6281.1,20190403
2550574440,3.4214118244379543,0.15579383016225629,6847.0,18136.4,20190721
2370986533,2.8703029882643105,0.03515543539418662,1410.0,4003.5,20190516
2258404952,3.1119477789960985,0.19428379868268625,1645.0,4433.3,20190401
3198668381,2.314627727094554,0.5416960582587271,1813.0,4818.3,20200319
3037735016,2.698463167646599,0.0795477243890111,5363.0,12983.3,20200123
1166343779,3.120852493624024,0.04911329741039741,2851.0,7792.7,20170823
2976895941,2.864493415189006,0.04039424309253643,3568.0,9164.9,20200102
2565632156,3.088889580571696,0.14428056312322718,1798.0,4896.2,20190726
2509119845,3.048631775846996,0.11215115611326777,8715.0,22568.1,20190706
2735742381,3.4894854242549593,0.18836435600109025,2558.0,8240.4,20190924
1166343738,3.047170816062964,0.07704298574416618,1847.0,4947.0,20170830
2496420976,3.007733352163192,0.08170167963429438,2036.0,5384.7,20190701
2456047195,3.153449827391526,0.13206936925878612,4610.0,12866.5,20190616
1584620265,3.1748577233414093,0.11962766806286702,2237.0,5633.3,20180520
1573321211,3.3386609579045157,0.15818036464024146,2045.0,6019.7,20180515
2575350275,3.5258229815727713,0.10299196664100997,2505.0,8207.3,20190730
2238656650,2.8498193896319437,0.035535236210113716,5896.0,14667.7,20190324
1274793916,3.4200683028487155,0.1538719043303379,1495.0,4363.9,20171114
1483920986,3.048170102399995,0.11892234166248165,3354.0,9220.8,20180401
2474262243,2.884666262406805,0.06054769040335504,2757.0,7077.6,20190623
2794546716,3.2231247080578624,0.09851721666226743,3373.0,9693.5,20191016
2725690286,3.2189218298262503,0.09093694597282745,2563.0,7075.0,20190920
3272943155,2.8303739196644018,0.16890031682544418,4027.0,11473.0,20200408
2768563816,2.8953101153831193,0.04244461877769272,11233.0,30565.8,20191006
1947320720,3.0350444830369425,0.08750959313833978,2233.0,5954.4,20181105
